"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"185",2009-11-26 23:00:00,315,146,93,1.5,NA,0.3,7,2,NA,NA,331.405945771046,1.34375
"186",2009-11-27 23:00:00,243,119,62,1.8,NA,0.3,5,2,NA,NA,320.164070427253,1.89166666666667
"187",2009-11-28 23:00:00,102,35,48,1,NA,0.2,2,2,NA,NA,324.219958069314,2.06041666666667
"188",2009-11-29 23:00:00,66,17,41,1,NA,0.2,1,23,NA,NA,309.436103247339,5.39583333333333
"189",2009-11-30 23:00:00,20,2,18,1,NA,0.2,1,54,NA,NA,311.560205993178,4.64583333333333
"190",2009-12-01 23:00:00,60,10,45,1,NA,0.2,2,26,NA,NA,314.910783522485,1.42083333333333
"191",2009-12-02 23:00:00,275,132,74,1.2,NA,0.2,7,2,NA,NA,323.104439006111,2.06875
"192",2009-12-03 23:00:00,40,6,30,1,NA,0.2,1,35,NA,NA,319.346078224861,4.49583333333333
"193",2009-12-04 23:00:00,53,9,40,1,NA,0.6,1,26,NA,NA,336.35205201266,2.02291666666667
"194",2009-12-05 23:00:00,182,80,61,1.5,NA,0.2,4,3,NA,NA,313.316297740462,2.76041666666667
"195",2009-12-06 23:00:00,45,5,38,1,NA,0.2,1,20,NA,NA,312.358445740106,2.86875
"196",2009-12-07 23:00:00,23,2,20,1,NA,0.2,1,43,NA,NA,333.112792818743,2.1625
"197",2009-12-08 23:00:00,131,50,55,1,NA,0.2,2,2,NA,NA,325.608935959915,1.77083333333333
"198",2009-12-09 23:00:00,154,65,55,1.5,NA,0.2,3,2,NA,NA,322.479723840206,2.23333333333333
"199",2009-12-10 23:00:00,207,95,62,1.5,NA,0.2,5,2,NA,NA,318.109805272057,1.99375
"200",2009-12-11 23:00:00,354,180,80,2.9,NA,0.3,8,3,NA,NA,344.315163799427,1.5625
"201",2009-12-12 23:00:00,199,83,73,1.3,NA,NA,5,5,NA,NA,329.614458384554,1.68958333333333
"202",2009-12-13 23:00:00,43,8,33,1,NA,NA,1,9,NA,NA,334.043426374278,1.81666666666667
"203",2009-12-14 23:00:00,64,15,41,1,NA,0.2,1,22,NA,NA,318.089115290947,3.28125
"204",2009-12-15 23:00:00,71,19,42,1,NA,0.4,2,12,NA,NA,322.071492671367,2.6
"205",2009-12-16 23:00:00,58,7,48,1,NA,NA,1,22,NA,NA,332.163808443411,1.98125
"206",2009-12-17 23:00:00,64,10,50,1,NA,NA,1,12,NA,NA,326.396974310949,2.8875
"207",2009-12-18 23:00:00,186,79,65,1.3,NA,0.2,4,3,NA,NA,316.569566370087,2.4125
"208",2009-12-19 23:00:00,35,4,29,1,NA,0.5,1,32,NA,NA,324.171507703247,2.34166666666667
"209",2009-12-20 23:00:00,151,62,57,1.3,NA,0.8,3,4,NA,NA,322.465771920536,1.67708333333333
"210",2009-12-21 23:00:00,326,166,73,1.7,NA,0.8,7,3,NA,NA,322.092402676007,1.62916666666667
"211",2009-12-22 23:00:00,NA,188,75,2.8,NA,1.2,8,6,NA,NA,330.051318856917,1.71666666666667
"212",2009-12-23 23:00:00,294,138,83,2.6,NA,0.9,7,23,NA,NA,340.886266299433,1.67708333333333
"213",2009-12-24 23:00:00,165,71,58,1.2,NA,0.7,4,3,NA,NA,325.162699337459,2.825
"214",2009-12-25 23:00:00,148,47,76,1.3,NA,0.6,4,4,NA,NA,86.5310973006037,1.2875
"215",2009-12-26 23:00:00,56,8,44,1,NA,0.3,1,26,NA,NA,316.216557358202,2.78125
"216",2009-12-27 23:00:00,124,47,53,1,NA,0.5,3,2,NA,NA,311.869759169119,2.775
"217",2009-12-28 23:00:00,153,59,63,1,NA,0.4,4,2,NA,NA,333.476337624511,1.55625
