date;no;no2;nox;so2
2012-10-28;2,38;18,29;21,33;1,04
2012-10-29;23,54;46,0;81,63;2,13
2012-10-30;69,96;72,75;179,58;3,54
2012-10-31;22,17;49,25;82,83;1,88
2012-11-01;19,25;43,0;68,89;1,58
2012-11-02;26,38;48,21;87,96;2,38
2012-11-03;28,29;53,25;96,38;3,42
2012-11-04;11,63;37,25;54,38;2,92
2012-11-05;7,13;34,83;45,46;1,58
2012-11-06;28,92;50,79;94,54;3,25
2012-11-07;44,5;55,67;123,17;4,33
2012-11-08;56,19;63,9;149,24;5,0
2012-11-09;73,83;70,79;183,33;5,08
2012-11-10;32,54;46,63;95,92;3,08
2012-11-11;13,83;38,75;59,67;2,92
2012-11-12;12,13;37,88;55,92;2,5
2012-11-13;11,33;39,38;56,33;3,13
2012-11-14;2,96;25,04;29,29;2,25
2012-11-15;39,75;54,42;114,88;3,75
2012-11-16;60,54;56,63;148,96;4,42
2012-11-17;29,5;43,92;88,88;2,96
2012-11-18;2,92;26,42;30,54;1,96
2012-11-19;22,04;43,58;76,79;2,13
2012-11-20;52,54;52,83;132,96;3,67
2012-11-21;77,36;64,0;182,09;5,77
2012-11-22;53,25;55,75;136,88;4,13
2012-11-23;51,83;52,75;131,79;4,5
2012-11-24;31,5;46,67;94,46;3,58
2012-11-25;24,5;50,58;87,63;3,54
2012-11-26;54,05;52,05;134,36;3,91
2012-11-27;15,92;49,63;73,63;2,17
2012-11-28;11,13;40,58;57,29;1,58
2012-11-29;17,92;43,08;70,04;2,17
2012-11-30;30,0;53,17;98,79;2,79
2012-12-01;58,71;71,21;160,67;3,83
2012-12-02;54,54;60,21;143,17;3,63
2012-12-03;47,5;49,54;122,0;3,58
2012-12-04;18,58;42,79;70,88;2,33
2012-12-05;6,08;32,13;40,88;1,33
2012-12-06;14,0;32,08;53,0;2,5
2012-12-07;37,67;52,71;109,88;4,25
2012-12-08;21,79;44,96;77,96;2,83
2012-12-09;12,96;38,13;57,58;2,96
2012-12-10;40,63;52,21;114,21;4,0
2012-12-11;32,77;51,38;99,23;4,48
2012-12-12;92,79;68,79;210,33;7,13
2012-12-13;61,5;55,21;148,79;4,5
2012-12-14;46,96;55,63;127,17;4,83
2012-12-15;8,13;35,58;47,79;2,0
2012-12-16;7,33;33,42;44,29;2,04
2012-12-17;15,29;44,13;67,25;2,08
2012-12-18;38,96;52,0;111,04;3,54
2012-12-19;91,75;60,21;200,25;6,04
2012-12-20;94,08;55,71;199,29;5,38
2012-12-21;49,71;55,63;131,33;4,0
2012-12-22;40,54;50,25;111,83;3,33
2012-12-23;9,67;27,33;41,79;2,42
2012-12-24;17,23;32,63;59,09;2,23
2012-12-25;8,46;24,63;37,29;1,75
2012-12-26;18,96;30,79;59,25;2,33
2012-12-27;24,42;42,42;79,67;2,58
2012-12-28;32,29;37,58;86,42;2,54
2012-12-29;15,88;30,29;53,71;2,29
2012-12-30;15,71;32,96;56,5;2,33
2012-12-31;13,46;30,63;50,83;2,25
2013-01-01;15,71;34,63;57,92;2,17
2013-01-02;37,04;40,38;96,54;2,83
2013-01-03;32,46;48,17;97,67;3,63
2013-01-04;11,21;37,67;54,63;2,46
2013-01-05;5,17;20,04;27,46;2,0
