date;pm10
2016-11-19;44,28
2016-11-20;30,79
2016-11-21;32,0
2016-11-22;27,4
2016-11-23;19,57
2016-11-24;16,5
2016-11-25;17,92
2016-11-26;22,09
2016-11-27;24,92
2016-11-28;26,67
2016-11-29;34,58
2016-11-30;21,08
2016-12-01;29,0
2016-12-02;17,25
2016-12-03;24,13
2016-12-04;25,92
2016-12-05;23,5
2016-12-06;26,5
2016-12-07;30,2
2016-12-08;20,25
2016-12-09;22,33
2016-12-10;14,63
2016-12-11;12,0
2016-12-12;21,0
2016-12-13;26,04
2016-12-14;31,33
2016-12-15;40,92
2016-12-16;37,7
2016-12-17;21,63
2016-12-18;21,21
2016-12-19;18,96
2016-12-20;14,05
2016-12-21;20,38
2016-12-22;14,46
2016-12-23;18,71
2016-12-24;11,77
2016-12-25;5,21
2016-12-26;14,86
2016-12-27;18,29
2016-12-28;19,04
2016-12-29;16,79
2016-12-30;26,75
2016-12-31;25,5
2017-01-01;13,46
2017-01-02;20,88
2017-01-03;31,13
2017-01-04;32,04
2017-01-05;25,46
2017-01-06;21,17
2017-01-07;29,83
2017-01-08;29,29
2017-01-09;26,92
2017-01-10;29,54
2017-01-11;34,88
2017-01-12;28,63
2017-01-13;22,46
2017-01-14;10,92
2017-01-15;11,46
2017-01-16;21,13
2017-01-17;27,08
2017-01-18;43,58
2017-01-19;60,88
2017-01-20;20,08
2017-01-21;29,29
2017-01-22;13,32
2017-01-23;27,05
2017-01-24;45,63
2017-01-25;46,38
2017-01-26;37,67
2017-01-27;28,29
2017-01-28;11,29
2017-01-29;11,21
2017-01-30;32,92
2017-01-31;36,79
2017-02-01;43,92
2017-02-02;38,88
2017-02-03;25,88
2017-02-04;15,63
2017-02-05;15,46
2017-02-06;11,38
2017-02-07;23,54
2017-02-08;13,54
2017-02-09;15,08
2017-02-10;29,83
2017-02-11;24,42
2017-02-12;38,71
2017-02-13;43,67
2017-02-14;30,08
2017-02-15;31,54
2017-02-16;40,21
2017-02-17;20,17
2017-02-18;24,29
2017-02-19;16,83
2017-02-20;26,67
2017-02-21;21,04
2017-02-22;21,54
2017-02-23;31,18
2017-02-24;28,5
2017-02-25;17,79
2017-02-26;17,32
2017-02-27;28,05
2017-02-28;24,37
2017-03-01;18,68
2017-03-02;20,5
2017-03-03;27,06
2017-03-04;29,0
2017-03-06;16,7
2017-03-07;18,52
2017-03-08;26,55
2017-03-09;31,61
2017-03-10;31,87
2017-03-11;24,76
2017-03-12;20,78
2017-03-13;23,07
2017-03-14;24,83
2017-03-15;30,75
2017-03-16;31,62
2017-03-17;21,5
2017-03-18;30,35
2017-03-19;19,94
2017-03-20;31,41
2017-03-21;28,85
2017-03-22;9,69
2017-03-23;11,0
2017-03-24;13,29
2017-03-28;39,67
2017-03-29;22,68
2017-03-30;16,79
2017-03-31;17,63
2017-04-01;10,71
2017-04-02;6,45
2017-04-03;9,05
2017-04-04;17,29
2017-04-05;15,12
2017-04-06;17,54
2017-04-07;22,25
2017-04-08;19,73
2017-04-09;15,29
2017-04-10;20,89
2017-04-11;22,45
2017-04-12;19,5
2017-04-13;23,88
2017-04-14;29,92
2017-04-15;22,5
2017-04-16;21,54
2017-04-17;22,54
2017-04-18;42,88
2017-04-19;27,05
2017-04-20;28,68
2017-04-21;21,33
2017-04-22;15,7
2017-04-23;23,57
2017-04-24;27,13
2017-04-25;21,82
2017-04-26;20,0
2017-04-28;15,5
2017-04-29;23,6
2017-04-30;20,75
2017-05-01;12,78
2017-05-02;22,79
2017-05-03;30,1
2017-05-04;24,0
2017-05-05;17,65
2017-05-06;18,19
2017-05-07;20,06
2017-05-08;19,94
2017-05-09;24,91
2017-05-10;19,43
2017-05-11;30,67
2017-05-12;29,0
2017-05-13;15,54
2017-05-14;21,93
2017-05-15;21,4
2017-05-16;37,29
2017-05-17;17,0
2017-05-18;17,33
2017-05-19;17,83
2017-05-20;22,29
2017-05-21;23,75
2017-05-22;18,36
2017-05-23;21,93
2017-05-24;16,64
2017-05-25;15,38
2017-05-27;44,75
2017-05-28;25,0
2017-05-29;42,21
2017-05-30;30,08
2017-05-31;32,27
2017-06-07;37,46
2017-06-08;34,38
2017-06-09;31,71
2017-06-10;31,33
2017-06-11;22,46
2017-06-12;31,67
2017-06-13;30,5
2017-06-14;29,17
2017-06-15;36,13
2017-06-16;29,29
2017-06-17;19,79
2017-06-18;28,78
2017-06-20;28,4
2017-06-23;29,71
2017-06-28;24,0
2017-06-30;15,4
2017-07-01;8,5
2017-07-05;18,5
2017-07-06;34,78
2017-07-07;41,76
2017-07-08;28,13
2017-07-09;22,0
2017-07-10;30,2
2017-07-11;27,94
2017-07-12;39,6
2017-07-13;22,45
2017-07-14;27,38
2017-07-15;29,54
2017-07-16;24,29
2017-07-17;27,5
2017-07-18;24,33
2017-07-19;22,0
2017-07-20;24,88
2017-07-21;29,08
2017-07-22;25,38
2017-07-23;21,29
2017-07-24;18,04
2017-07-25;20,54
2017-07-26;18,38
2017-07-27;19,38
2017-07-28;28,08
2017-07-29;13,63
2017-09-07;16,93
