date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-12-27;0,2;3,13;12,38;16,54;45,3;;;3,04
2012-12-28;0,23;11,21;29,54;46,17;31,83;;;2,42
2012-12-29;0,24;15,29;32,96;55,42;38,33;;;2,88
2012-12-30;0,2;9,25;26,67;40,29;35,88;;;1,67
2012-12-31;0,21;4,38;21,79;28,04;45,08;;;4,88
2013-01-01;0,26;2,08;14,46;16,96;53,58;;;2,17
2013-01-02;0,21;13,63;32,08;52,54;31,25;;;6,46
2013-01-03;0,21;12,38;38,88;57,54;31,54;;;3,54
2013-01-04;0,22;4,68;22,18;28,73;47,23;;;1,5
2013-01-05;0,2;1,71;12,25;14,33;51,88;;;3,3
2013-01-06;0,21;4,71;24,25;30,92;46,08;;;3,71
2013-01-07;0,29;21,5;38,04;70,54;36,25;;;4,5
2013-01-08;0,28;43,42;58,21;124,33;18,75;;;2,71
2013-01-09;0,2;6,33;22,75;31,96;38,63;;;2,83
2013-01-10;0,28;30,17;45,71;91,54;20,75;;;2,17
2013-01-11;0,22;8,58;35,29;47,67;39,42;;;2,75
2013-01-12;0,2;5,25;29,46;37,17;44,75;;;3,42
2013-01-13;0,21;8,92;23,79;36,92;48,54;;;1,33
2013-01-14;0,2;2,5;23,72;26,89;45,37;;;1,32
2013-01-15;;1,84;19,11;21,47;51,39;;;1,5
2013-01-16;;5,79;23,54;31,83;45,17;;;6,29
2013-01-17;;7,58;36,83;47,88;36,0;;;5,08
2013-01-18;;15,21;39,88;62,67;29,13;;;3,04
2013-01-19;;31,88;40,04;88,29;29,88;;;7,46
2013-01-20;;1,33;9,33;10,75;60,54;;;7,33
2013-01-21;;5,5;20,17;28,04;51,38;;;3,48
2013-01-22;;2,96;24,0;28,0;50,17;;;1,17
2013-01-23;;2,46;16,38;19,67;54,75;;;1,29
2013-01-24;;6,79;28,75;38,67;46,08;;;1,08
2013-01-25;;2,63;16,33;19,75;62,04;;;1,08
2013-01-26;;4,04;23,92;29,38;52,92;;;1,0
2013-01-27;;2,3;19,04;22,04;51,91;;;1,04
2013-01-28;;5,0;26,27;33,5;41,09;;;1,0
2013-01-29;;4,42;26,88;33,25;36,96;;;1,0
2013-01-30;;12,13;32,63;50,75;29,5;;;4,5
2013-01-31;;10,71;29,21;45,38;24,38;;;3,04
2013-02-01;;3,92;18,75;24,21;36,96;;;3,21
2013-02-02;;1,17;9,38;10,67;60,33;;;1,08
2013-02-03;;1,21;7,88;9,21;71,58;;;1,21
2013-02-04;;8,08;28,42;40,13;43,58;;;5,67
2013-02-05;;4,5;18,96;25,25;42,63;;;4,46
2013-02-06;;2,88;15,79;19,75;60,88;;;2,0
2013-02-07;;2,21;15,88;18,83;57,79;;;2,88
2013-02-08;0,2;4,29;29,5;35,54;37,67;;;2,33
2013-02-09;0,32;6,04;24,38;32,79;48,96;;;5,08
2013-02-10;0,57;2,63;27,04;30,38;46,17;;;5,71
2013-02-11;0,35;1,88;14,75;17,0;65,5;;;3,29
2013-02-12;0,6;2,42;15,0;18,38;61,75;;;1,46
2013-02-13;0,45;14,55;40,41;62,05;38,59;;;3,87
2013-02-14;0,77;8,08;42,58;54,5;33,13;;;4,5
2013-02-15;0,51;3,54;26,83;31,54;48,42;;;4,04
